District_Name,Season,Area,Production,Crop
ANANTAPUR,Kharif     ,37562,4845,Arhar/Tur
CHITTOOR,Kharif     ,6840,1669,Arhar/Tur
EAST GODAVARI,Kharif     ,2164,1807,Arhar/Tur
EAST GODAVARI,Rabi       ,56,47,Arhar/Tur
GUNTUR,Kharif     ,8861,13805,Arhar/Tur
GUNTUR,Rabi       ,193,301,Arhar/Tur
KADAPA,Kharif     ,2367,360,Arhar/Tur
KADAPA,Rabi       ,24,4,Arhar/Tur
KRISHNA,Kharif     ,607,403,Arhar/Tur
KURNOOL,Kharif     ,43233,18460,Arhar/Tur
KURNOOL,Rabi       ,496,212,Arhar/Tur
PRAKASAM,Kharif     ,43123,30962,Arhar/Tur
PRAKASAM,Rabi       ,10,7,Arhar/Tur
SPSR NELLORE,Kharif     ,457,382,Arhar/Tur
SPSR NELLORE,Rabi       ,102,85,Arhar/Tur
SRIKAKULAM,Kharif     ,646,539,Arhar/Tur
SRIKAKULAM,Rabi       ,12,10,Arhar/Tur
VISAKHAPATANAM,Kharif     ,1965,364,Arhar/Tur
VISAKHAPATANAM,Rabi       ,4,1,Arhar/Tur
VIZIANAGARAM,Kharif     ,1065,889,Arhar/Tur
VIZIANAGARAM,Rabi       ,28,23,Arhar/Tur
WEST GODAVARI,Kharif     ,90,75,Arhar/Tur
WEST GODAVARI,Rabi       ,639,534,Arhar/Tur
BAKSA,Kharif     ,225,205,Arhar/Tur
BARPETA,Kharif     ,231,212,Arhar/Tur
BONGAIGAON,Kharif     ,161,170,Arhar/Tur
CACHAR,Kharif     ,146,141,Arhar/Tur
CHIRANG,Kharif     ,222,236,Arhar/Tur
DARRANG,Kharif     ,169,126,Arhar/Tur
DHEMAJI,Kharif     ,34,32,Arhar/Tur
DHUBRI,Kharif     ,69,64,Arhar/Tur
DIBRUGARH,Kharif     ,49,47,Arhar/Tur
DIMA HASAO,Kharif     ,448,414,Arhar/Tur
GOALPARA,Kharif     ,421,473,Arhar/Tur
GOLAGHAT,Kharif     ,142,133,Arhar/Tur
HAILAKANDI,Kharif     ,70,62,Arhar/Tur
JORHAT,Kharif     ,32,29,Arhar/Tur
KAMRUP,Kharif     ,169,173,Arhar/Tur
KAMRUP METRO,Kharif     ,39,40,Arhar/Tur
KARBI ANGLONG,Kharif     ,1100,1011,Arhar/Tur
KARIMGANJ,Kharif     ,75,66,Arhar/Tur
KOKRAJHAR,Kharif     ,440,437,Arhar/Tur
LAKHIMPUR,Kharif     ,30,36,Arhar/Tur
MARIGAON,Kharif     ,111,106,Arhar/Tur
NAGAON,Kharif     ,560,492,Arhar/Tur
NALBARI,Kharif     ,90,69,Arhar/Tur
SIVASAGAR,Kharif     ,32,26,Arhar/Tur
SONITPUR,Kharif     ,641,660,Arhar/Tur
TINSUKIA,Kharif     ,82,79,Arhar/Tur
UDALGURI,Kharif     ,259,199,Arhar/Tur
ARARIA,Kharif     ,5,7,Arhar/Tur
ARWAL,Kharif     ,82,69,Arhar/Tur
AURANGABAD,Kharif     ,1175,2520,Arhar/Tur
BANKA,Kharif     ,667,350,Arhar/Tur
BEGUSARAI,Kharif     ,576,1132,Arhar/Tur
BHAGALPUR,Kharif     ,822,473,Arhar/Tur
BHOJPUR,Kharif     ,1051,1928,Arhar/Tur
BUXAR,Kharif     ,345,689,Arhar/Tur
DARBHANGA,Kharif     ,248,283,Arhar/Tur
GAYA,Kharif     ,1702,2716,Arhar/Tur
GOPALGANJ,Kharif     ,486,605,Arhar/Tur
JAMUI,Kharif     ,505,954,Arhar/Tur
JEHANABAD,Kharif     ,148,231,Arhar/Tur
KAIMUR (BHABUA),Kharif     ,1837,2432,Arhar/Tur
KATIHAR,Kharif     ,23,33,Arhar/Tur
KHAGARIA,Kharif     ,190,359,Arhar/Tur
KISHANGANJ,Kharif     ,37,53,Arhar/Tur
LAKHISARAI,Kharif     ,82,128,Arhar/Tur
MADHEPURA,Kharif     ,12,17,Arhar/Tur
MADHUBANI,Kharif     ,81,92,Arhar/Tur
MUNGER,Kharif     ,47,72,Arhar/Tur
MUZAFFARPUR,Kharif     ,1235,1103,Arhar/Tur
NALANDA,Kharif     ,213,373,Arhar/Tur
NAWADA,Kharif     ,887,691,Arhar/Tur
PASHCHIM CHAMPARAN,Kharif     ,494,750,Arhar/Tur
PATNA,Kharif     ,687,1450,Arhar/Tur
PURBI CHAMPARAN,Kharif     ,1415,2389,Arhar/Tur
PURNIA,Kharif     ,118,170,Arhar/Tur
ROHTAS,Kharif     ,838,1053,Arhar/Tur
SAMASTIPUR,Kharif     ,958,1092,Arhar/Tur
SARAN,Kharif     ,789,963,Arhar/Tur
SHEIKHPURA,Kharif     ,115,217,Arhar/Tur
SHEOHAR,Kharif     ,158,230,Arhar/Tur
SITAMARHI,Kharif     ,57,83,Arhar/Tur
SIWAN,Kharif     ,1114,1547,Arhar/Tur
SUPAUL,Kharif     ,61,88,Arhar/Tur
VAISHALI,Kharif     ,591,1200,Arhar/Tur
BALOD,Kharif     ,519,300,Arhar/Tur
BALODA BAZAR,Kharif     ,1292,613,Arhar/Tur
BALRAMPUR,Kharif     ,8214,5852,Arhar/Tur
BASTAR,Kharif     ,433,314,Arhar/Tur
BEMETARA,Kharif     ,2525,1489,Arhar/Tur
BIJAPUR,Kharif     ,7,4,Arhar/Tur
BILASPUR,Kharif     ,2236,1428,Arhar/Tur
DANTEWADA,Kharif     ,392,272,Arhar/Tur
DHAMTARI,Kharif     ,115,50,Arhar/Tur
DURG,Kharif     ,1321,845,Arhar/Tur
GARIYABAND,Kharif     ,333,113,Arhar/Tur
JANJGIR-CHAMPA,Kharif     ,1035,683,Arhar/Tur
JASHPUR,Kharif     ,4905,3124,Arhar/Tur
KABIRDHAM,Kharif     ,5041,3221,Arhar/Tur
KANKER,Kharif     ,607,348,Arhar/Tur
KONDAGAON,Kharif     ,176,116,Arhar/Tur
KORBA,Kharif     ,1331,851,Arhar/Tur
KOREA,Kharif     ,3843,2324,Arhar/Tur
MAHASAMUND,Kharif     ,696,283,Arhar/Tur
MUNGELI,Kharif     ,1682,1110,Arhar/Tur
NARAYANPUR,Kharif     ,108,50,Arhar/Tur
RAIGARH,Kharif     ,2308,1620,Arhar/Tur
RAIPUR,Kharif     ,535,254,Arhar/Tur
RAJNANDGAON,Kharif     ,6652,4248,Arhar/Tur
SUKMA,Kharif     ,441,281,Arhar/Tur
SURAJPUR,Kharif     ,4258,2299,Arhar/Tur
SURGUJA,Kharif     ,4301,2972,Arhar/Tur
BAGALKOT,Kharif     ,6144,2673,Arhar/Tur
BANGALORE RURAL,Kharif     ,1554,1736,Arhar/Tur
BELGAUM,Kharif     ,2869,2322,Arhar/Tur
BELLARY,Kharif     ,3427,1319,Arhar/Tur
BENGALURU URBAN,Kharif     ,2093,1362,Arhar/Tur
BIDAR,Kharif     ,65965,44243,Arhar/Tur
BIJAPUR,Kharif     ,187324,114783,Arhar/Tur
CHAMARAJANAGAR,Kharif     ,1054,473,Arhar/Tur
CHIKBALLAPUR,Kharif     ,3417,1834,Arhar/Tur
CHIKMAGALUR,Kharif     ,545,355,Arhar/Tur
CHITRADURGA,Kharif     ,8728,7205,Arhar/Tur
DAVANGERE,Kharif     ,4403,6224,Arhar/Tur
DHARWAD,Kharif     ,1609,1637,Arhar/Tur
GADAG,Kharif     ,1540,726,Arhar/Tur
GULBARGA,Kharif     ,315343,210003,Arhar/Tur
HASSAN,Kharif     ,2359,3433,Arhar/Tur
HAVERI,Kharif     ,1410,964,Arhar/Tur
KOLAR,Kharif     ,4657,4929,Arhar/Tur
KOPPAL,Kharif     ,14572,8472,Arhar/Tur
MANDYA,Kharif     ,1073,315,Arhar/Tur
MYSORE,Kharif     ,2697,1617,Arhar/Tur
RAICHUR,Kharif     ,37594,24929,Arhar/Tur
RAMANAGARA,Kharif     ,2468,1564,Arhar/Tur
SHIMOGA,Kharif     ,251,163,Arhar/Tur
TUMKUR,Kharif     ,10040,2337,Arhar/Tur
UTTAR KANNAD,Kharif     ,5,3,Arhar/Tur
YADGIR,Kharif     ,44909,28414,Arhar/Tur
PALAKKAD,Whole Year ,827,1384,Arhar/Tur
THRISSUR,Whole Year ,1,1,Arhar/Tur
WAYANAD,Whole Year ,648,518,Arhar/Tur
AHMEDNAGAR,Kharif     ,9100,1800,Arhar/Tur
AKOLA,Kharif     ,50100,19600,Arhar/Tur
AMRAVATI,Kharif     ,103800,36800,Arhar/Tur
AURANGABAD,Kharif     ,32900,8700,Arhar/Tur
BEED,Kharif     ,60600,10200,Arhar/Tur
BHANDARA,Kharif     ,11600,4000,Arhar/Tur
BULDHANA,Kharif     ,69600,18500,Arhar/Tur
CHANDRAPUR,Kharif     ,38200,19800,Arhar/Tur
DHULE,Kharif     ,11600,5200,Arhar/Tur
GADCHIROLI,Kharif     ,4600,1600,Arhar/Tur
GONDIA,Kharif     ,6500,2200,Arhar/Tur
HINGOLI,Kharif     ,41100,18500,Arhar/Tur
JALGAON,Kharif     ,15600,8200,Arhar/Tur
JALNA,Kharif     ,47200,11900,Arhar/Tur
KOLHAPUR,Kharif     ,1500,400,Arhar/Tur
LATUR,Kharif     ,113200,28300,Arhar/Tur
NAGPUR,Kharif     ,62000,21100,Arhar/Tur
NANDED,Kharif     ,71600,14700,Arhar/Tur
NANDURBAR,Kharif     ,12600,2800,Arhar/Tur
NASHIK,Kharif     ,5700,1500,Arhar/Tur
OSMANABAD,Kharif     ,101000,28600,Arhar/Tur
PALGHAR,Kharif     ,2300,900,Arhar/Tur
PARBHANI,Kharif     ,68600,14100,Arhar/Tur
PUNE,Kharif     ,3000,700,Arhar/Tur
RAIGAD,Kharif     ,1200,500,Arhar/Tur
RATNAGIRI,Kharif     ,600,200,Arhar/Tur
SANGLI,Kharif     ,6900,2000,Arhar/Tur
SATARA,Kharif     ,1300,400,Arhar/Tur
SINDHUDURG,Kharif     ,100,155411,Arhar/Tur
SOLAPUR,Kharif     ,18800,9000,Arhar/Tur
THANE,Kharif     ,400,200,Arhar/Tur
WARDHA,Kharif     ,72800,19200,Arhar/Tur
WASHIM,Kharif     ,52300,16200,Arhar/Tur
YAVATMAL,Kharif     ,111800,25500,Arhar/Tur
EAST GARO HILLS,Kharif     ,71,69,Arhar/Tur
NORTH GARO HILLS,Kharif     ,48,46,Arhar/Tur
SOUTH GARO HILLS,Kharif     ,136,105,Arhar/Tur
SOUTH WEST GARO HILLS,Kharif     ,316,444,Arhar/Tur
WEST GARO HILLS,Kharif     ,577,801,Arhar/Tur
DIMAPUR,Kharif     ,500,460,Arhar/Tur
KIPHIRE,Kharif     ,100,70,Arhar/Tur
KOHIMA,Kharif     ,290,260,Arhar/Tur
LONGLENG,Kharif     ,90,80,Arhar/Tur
MOKOKCHUNG,Kharif     ,290,260,Arhar/Tur
MON,Kharif     ,310,280,Arhar/Tur
PEREN,Kharif     ,210,190,Arhar/Tur
PHEK,Kharif     ,440,410,Arhar/Tur
TUENSANG,Kharif     ,310,280,Arhar/Tur
WOKHA,Kharif     ,190,170,Arhar/Tur
ZUNHEBOTO,Kharif     ,280,250,Arhar/Tur
AMRITSAR,Kharif     ,2000,1800,Arhar/Tur
BARNALA,Kharif     ,1000,900,Arhar/Tur
JALANDHAR,Kharif     ,4000,3500,Arhar/Tur
